fecha_hora,tipo_ping,ip_objetivo,ubicacion,promedio_ms,count,min_ms,max_ms,std_dev
2025-10-15 00:00:00,Latencia,8.8.8.8,,0,0,0,0,0
2025-10-15 01:00:00,Latencia,8.8.8.8,,0,0,0,0,0
2025-10-15 02:00:00,Latencia,8.8.8.8,,0,0,0,0,0
2025-10-15 03:00:00,Latencia,8.8.8.8,,0,0,0,0,0
2025-10-15 04:00:00,Latencia,8.8.8.8,,0,0,0,0,0
2025-10-15 05:00:00,Latencia,8.8.8.8,,0,0,0,0,0
2025-10-15 06:00:00,Latencia,8.8.8.8,,0,0,0,0,0
2025-10-15 07:00:00,Latencia,8.8.8.8,,0,0,0,0,0
2025-10-15 08:00:00,Latencia,8.8.8.8,,0,0,0,0,0
2025-10-15 09:00:00,Latencia,8.8.8.8,,0,0,0,0,0
2025-10-15 10:00:00,Latencia,8.8.8.8,,0,0,0,0,0
2025-10-15 11:00:00,Latencia,8.8.8.8,,0,0,0,0,0
2025-10-15 12:00:00,Latencia,8.8.8.8,,60.55254936218262,5,48.04682731628418,64.10861015319824,7.005275515549405
2025-10-15 13:00:00,Latencia,8.8.8.8,,61.9271569332834,59,46.98777198791504,64.31746482849121,4.752817075978704
2025-10-15 14:00:00,Latencia,8.8.8.8,,62.04394499460856,60,48.0191707611084,68.37081909179688,4.81108871752748
2025-10-15 15:00:00,Latencia,8.8.8.8,,62.11393674214681,60,46.979665756225586,95.63517570495605,8.543668462917845
2025-10-15 16:00:00,Latencia,8.8.8.8,,63.181258864321954,59,46.92530632019043,86.68041229248047,6.771803898101431
2025-10-15 17:00:00,Latencia,8.8.8.8,,62.896434466044106,60,47.03569412231445,64.5599365234375,3.733063851698794
2025-10-15 18:00:00,Latencia,8.8.8.8,,63.324483774476136,59,47.949790954589844,94.11358833312988,5.637306915235434
2025-10-15 19:00:00,Latencia,8.8.8.8,,62.11921146937779,56,46.98371887207031,66.53666496276855,5.073176896994062
2025-10-15 20:00:00,Latencia,8.8.8.8,,61.81928262872211,59,47.70207405090332,78.34362983703613,5.948146887385549
2025-10-15 21:00:00,Latencia,8.8.8.8,,62.86680496345132,59,46.96941375732422,100.8152961730957,8.320911733912453
2025-10-15 22:00:00,Latencia,8.8.8.8,,62.89994716644287,58,46.994924545288086,80.61766624450684,5.700234959438147
2025-10-15 23:00:00,Latencia,8.8.8.8,,62.56031181852696,59,47.16920852661133,94.88320350646973,8.031147712090354
