device,ubicacion,timestamp,server_id,server_name,server_country,server_sponsor,server_host,server_location,ping_ms,download_mbps,upload_mbps,download_bytes,upload_bytes,bytes_sent,bytes_received,client_ip,client_isp,isp,interface_external_ip,result_id,result_url,cli_type
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T20:55:27.827311,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",43.681,24.950864,332.620144,32900294,311440050,,,,,Telca,200.229.10.81,66980db0-8844-4493-9234-5f0d2879f3e0,https://www.speedtest.net/result/c/66980db0-8844-4493-9234-5f0d2879f3e0,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:01:02.555165,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.365,635.111336,522.809008,660536132,877510473,,,,,Telca,200.229.10.81,1ce8d459-5935-4813-aa64-f568ce94cd9f,https://www.speedtest.net/result/c/1ce8d459-5935-4813-aa64-f568ce94cd9f,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:01:38.580788,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",45.521,23.11748,427.134728,43087480,483910246,,,,,Telca,200.229.10.81,752a5101-d2c0-4d78-a62c-bacb54991386,https://www.speedtest.net/result/c/752a5101-d2c0-4d78-a62c-bacb54991386,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:07:07.921616,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.271,635.34784,560.191976,787099924,588985258,,,,,Telca,200.229.10.81,b13f7845-2ea4-4fc5-aeff-60d020af648f,https://www.speedtest.net/result/c/b13f7845-2ea4-4fc5-aeff-60d020af648f,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:07:40.312802,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",45.559,645.36048,410.545672,973539366,338883337,,,,,Telca,200.229.10.81,0c1b7bbc-b9e0-45ea-8985-bb2c6ee59118,https://www.speedtest.net/result/c/0c1b7bbc-b9e0-45ea-8985-bb2c6ee59118,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:13:10.457232,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.355,636.664472,570.279248,814877908,630001087,,,,,Telca,200.229.10.81,d3200d6e-3f28-4e72-8cf2-6c5abd3978b3,https://www.speedtest.net/result/c/d3200d6e-3f28-4e72-8cf2-6c5abd3978b3,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:13:52.376986,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",43.624,26.380936,432.612624,49501896,741359777,,,,,Telca,200.229.10.81,13cbb96a-5ae5-4d6a-b868-ac0d99921b24,https://www.speedtest.net/result/c/13cbb96a-5ae5-4d6a-b868-ac0d99921b24,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:19:22.412699,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.349,637.069752,563.329504,798728864,598128413,,,,,Telca,200.229.10.81,b44329e8-5a62-4ec4-b16f-0ace08fed951,https://www.speedtest.net/result/c/b44329e8-5a62-4ec4-b16f-0ace08fed951,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:20:02.479721,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",43.429,21.486464,397.685024,34968500,714084750,,,,,Telca,200.229.10.81,e66be7b2-97e5-46fc-8e6d-394023f7cfc5,https://www.speedtest.net/result/c/e66be7b2-97e5-46fc-8e6d-394023f7cfc5,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:25:32.576331,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.347,637.3178,564.758224,815418704,643062191,,,,,Telca,200.229.10.81,ce9dd352-f4c0-416e-8f7f-db00b1a47db1,https://www.speedtest.net/result/c/ce9dd352-f4c0-416e-8f7f-db00b1a47db1,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:26:11.879013,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",43.691,631.57376,420.068688,927235124,747922485,,,,,Telca,200.229.10.81,118f71f9-185e-4802-a897-aeff6705bb2e,https://www.speedtest.net/result/c/118f71f9-185e-4802-a897-aeff6705bb2e,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:31:41.342317,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.301,637.774744,565.949128,805338144,588093205,,,,,Telca,200.229.10.81,20ea77b3-4fdc-4f49-afa0-143d8f2834ee,https://www.speedtest.net/result/c/20ea77b3-4fdc-4f49-afa0-143d8f2834ee,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:32:19.965866,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",43.38,19.316176,428.59528,34385923,615341069,,,,,Telca,200.229.10.81,4567dca3-54c9-48c9-a7bc-15abf90613b0,https://www.speedtest.net/result/c/4567dca3-54c9-48c9-a7bc-15abf90613b0,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:37:49.881428,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.317,637.560632,572.00276,809292036,629303892,,,,,Telca,200.229.10.81,e0301017-c786-4cad-8a4f-97575abbd1d0,https://www.speedtest.net/result/c/e0301017-c786-4cad-8a4f-97575abbd1d0,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:38:28.287265,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",45.585,640.32208,420.259,900740356,751207810,,,,,Telca,200.229.10.81,697831cc-e7fa-4cbc-839b-41ade427a8db,https://www.speedtest.net/result/c/697831cc-e7fa-4cbc-839b-41ade427a8db,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:43:57.951871,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.325,636.969808,568.877248,798439112,627261828,,,,,Telca,200.229.10.81,ab4f3661-b951-4f83-b3bf-670de58394ef,https://www.speedtest.net/result/c/ab4f3661-b951-4f83-b3bf-670de58394ef,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:44:29.252561,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",45.477,641.08452,485.610768,893388072,459380224,,,,,Telca,200.229.10.81,d5bf4a75-eef2-46fd-b4aa-0cfe19110c58,https://www.speedtest.net/result/c/d5bf4a75-eef2-46fd-b4aa-0cfe19110c58,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:49:59.024322,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.363,635.492008,569.499728,803611268,636305653,,,,,Telca,200.229.10.81,ef77028d-d5e3-4382-8c50-78645f9cb925,https://www.speedtest.net/result/c/ef77028d-d5e3-4382-8c50-78645f9cb925,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:50:37.179160,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",45.456,633.22168,455.018496,856891665,784282189,,,,,Telca,200.229.10.81,5fb4190e-1c7e-4f86-869f-56b84277a819,https://www.speedtest.net/result/c/5fb4190e-1c7e-4f86-869f-56b84277a819,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:56:06.344129,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.331,637.241048,566.647584,794961356,588786652,,,,,Telca,200.229.10.81,36412bba-e7fd-4530-8c43-6462e2e1c7fc,https://www.speedtest.net/result/c/36412bba-e7fd-4530-8c43-6462e2e1c7fc,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T21:56:41.001344,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",45.387,23.28852,416.82,43497833,410873712,,,,,Telca,200.229.10.81,01c066d1-7958-42dd-8706-816294298ab5,https://www.speedtest.net/result/c/01c066d1-7958-42dd-8706-816294298ab5,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:02:10.759327,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.324,636.843832,570.51984,813109792,634100356,,,,,Telca,200.229.10.81,6d26b990-441a-40b5-aa7d-c8a702b9f8a4,https://www.speedtest.net/result/c/6d26b990-441a-40b5-aa7d-c8a702b9f8a4,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:02:41.461758,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",45.456,22.804448,453.831944,35544416,447167477,,,,,Telca,200.229.10.81,faa01c6a-3a3d-4305-85a9-d6bec09541b0,https://www.speedtest.net/result/c/faa01c6a-3a3d-4305-85a9-d6bec09541b0,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:08:11.617159,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,1.83,636.726304,572.006728,805504760,637756383,,,,,Telca,200.229.10.81,df5187b6-7c51-4e3b-826b-f2a0fb28fcce,https://www.speedtest.net/result/c/df5187b6-7c51-4e3b-826b-f2a0fb28fcce,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:08:45.629852,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",45.368,26.621072,479.729016,44992108,405961707,,,,,Telca,200.229.10.81,4de740d4-f89a-472a-9dfd-2e1ea177dd9c,https://www.speedtest.net/result/c/4de740d4-f89a-472a-9dfd-2e1ea177dd9c,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:14:15.095118,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.364,636.10204,561.941936,804683268,587777013,,,,,Telca,200.229.10.81,182653f4-785b-4031-b78f-e24fa9b6a327,https://www.speedtest.net/result/c/182653f4-785b-4031-b78f-e24fa9b6a327,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:14:52.998492,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",43.431,25.21244,440.432944,32919974,791746295,,,,,Telca,200.229.10.81,dd43c81d-798e-4e6e-bd4f-69f6fe58fe38,https://www.speedtest.net/result/c/dd43c81d-798e-4e6e-bd4f-69f6fe58fe38,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:20:22.504008,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.328,636.86048,634.670888,797512012,690856713,,,,,Telca,200.229.10.81,c623a6bc-6216-4810-9dd8-57c67caa7eb1,https://www.speedtest.net/result/c/c623a6bc-6216-4810-9dd8-57c67caa7eb1,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:20:56.451570,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",45.397,18.889504,478.954864,30869576,407044528,,,,,Telca,200.229.10.81,846faaf3-41fa-4326-947e-4ad98e259e06,https://www.speedtest.net/result/c/846faaf3-41fa-4326-947e-4ad98e259e06,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:26:25.924709,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.343,637.11656,566.293904,796386064,588757134,,,,,Telca,200.229.10.81,403c0b26-ad1b-4cfb-bb96-d56c2e51f0dc,https://www.speedtest.net/result/c/403c0b26-ad1b-4cfb-bb96-d56c2e51f0dc,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:27:07.590574,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",43.28,54.599664,478.692424,94347016,848449164,,,,,Telca,200.229.10.81,10a613d4-bb3c-4a6a-a397-821f0add9a4f,https://www.speedtest.net/result/c/10a613d4-bb3c-4a6a-a397-821f0add9a4f,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:32:37.507801,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.314,637.366744,569.855208,798066344,636090990,,,,,Telca,200.229.10.81,af437347-20d9-40a2-8d88-d34f438cda3f,https://www.speedtest.net/result/c/af437347-20d9-40a2-8d88-d34f438cda3f,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:33:15.293683,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",44.884,637.635256,359.495264,881078256,605973665,,,,,Telca,200.229.10.81,8efe81db-2c7a-4acd-b3e9-6b9c6410bf8b,https://www.speedtest.net/result/c/8efe81db-2c7a-4acd-b3e9-6b9c6410bf8b,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:38:44.820969,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.345,637.82404,563.718848,799265424,600442850,,,,,Telca,200.229.10.81,777c5e98-c588-466d-8253-51c2096c8f8d,https://www.speedtest.net/result/c/777c5e98-c588-466d-8253-51c2096c8f8d,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:39:26.341502,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",45.281,24.334336,528.262576,49003867,901549680,,,,,Telca,200.229.10.81,a88c9187-62cc-439b-99c0-def0e82b3087,https://www.speedtest.net/result/c/a88c9187-62cc-439b-99c0-def0e82b3087,official
